externalId;title;department;city;country;verdict;basis;divisionsNamed;siteHint;beautyEvidence;pharmaEvidence;pageUrl
"1434284833";"Associate Manager, Pharmaceutical Development";"";"Cwmbran";"GB";"OUT_PHARMA_ONLY";"titre/service nomme la pharma";"PHARMA";"PHARMA";"";"Associate Manager, Pharmaceutical Development ";"https://jobs.aptar.com/job/Cwmbran-Associate-Manager%2C-Pharmaceutical-Development-Wale-NP44-3WY/1434284833/"
"1424837033";"Ausbildung zum Elektroniker für Betriebstechnik (m/w/d)";"";"Radolfzell";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Radolfzell-Ausbildung-zum-Elektroniker-f%C3%BCr-Betriebstechnik-%28mwd%29-BW-78315/1424837033/"
"1424835933";"Ausbildung zum Industriekaufmann mit ZQ internationales Wirtschaftsmanagement (m/w/d)";"";"Radolfzell";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Radolfzell-Ausbildung-zum-Industriekaufmann-mit-ZQ-internationales-Wirtschaftsmanagement-%28mwd%29-BW-78315/1424835933/"
"1424836633";"Ausbildung zum Industriemechaniker (m/w/d)";"";"Radolfzell";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Radolfzell-Ausbildung-zum-Industriemechaniker-%28mwd%29-BW-78315/1424836633/"
"1424834733";"Ausbildung zum Kunststoff- und Kautschuktechnologe (m/w/d)";"";"Radolfzell";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Radolfzell-Ausbildung-zum-Kunststoff-und-Kautschuktechnologe-%28mwd%29-BW-78315/1424834733/"
"1424836733";"Ausbildung zum Werkzeugmechaniker (m/w/d)";"";"Radolfzell";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Radolfzell-Ausbildung-zum-Werkzeugmechaniker-%28mwd%29-BW-78315/1424836733/"
"1424836133";"Ausbildung zur Fachkraft für Lagerlogistik (m/w/d)";"";"Radolfzell";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Radolfzell-Ausbildung-zur-Fachkraft-f%C3%BCr-Lagerlogistik-%28mwd%29-BW-78315/1424836133/"
"1217875601";"Auszubildender Kunststoff- und Kautschuktechnologe (m/w/x) Ausbildungsstart 01.09.2026";"";"Villingen-Schwenningen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Villingen-Schwenningen-Auszubildender-Kunststoff-und-Kautschuktechnologe-%28mwx%29-Ausbildungsstart-01_09_2026-BW-78052/1217875601/"
"1217876101";"Auszubildender Werkzeugmechaniker (m/w/x) Ausbildungsstart 01.09.2026";"";"Villingen-Schwenningen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Villingen-Schwenningen-Auszubildender-Werkzeugmechaniker-%28mwx%29-Ausbildungsstart-01_09_2026-BW-78052/1217876101/"
"1217875201";"Auszubildender zum Industriemechaniker Ausbildungsstart 01.09.2026";"";"Villingen-Schwenningen";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Villingen-Schwenningen-Auszubildender-zum-Industriemechaniker-Ausbildungsstart-01_09_2026-BW-78052/1217875201/"
