id,name,canonicalKey,kind,domain,parentGroup,activeJobs,allJobs
"cmtrsgqiw0mcrpg5mlauwn6i6","Condé Nast Taiwan Publications","CONDE_NAST_TAIWAN_PUBLICATIONS","UNKNOWN","","","2","2"
"cmtlyqkce0n46qf5k3z6z166r","Condé Nast Taiwan Publications Limited","CONDE_NAST_TAIWAN_PUBLICATIONS_LIMITED","UNKNOWN","","","0","0"
"cmtkdvwgx1selnf2bfysmzr7y","CONFIDENTIEL","CONFIDENTIEL","UNKNOWN","","","5","7"
"cmtp868px3rlaqq4z2ltmpmk7","CONSCIOUS LOVE","CONSCIOUS_LOVE","UNKNOWN","","","1","1"
"cmtm8ozlu1htlpv5jpyr60y9f","Converse","CONVERSE","UNKNOWN","converse.com","","26","29"
"cmtm8ox3b1gz9pv5jmkrgaq3h","Converse Deutschland GmbH","CONVERSE_DEUTSCHLAND_GMBH","UNKNOWN","","","0","0"
"cmtm8p1jr1iddpv5jampes0cf","Converse Footwear Technical Service (Zhongshan) Co., Ltd.","CONVERSE_FOOTWEAR_TECHNICAL_SERVICE_ZHONGSHAN_CO_LTD","UNKNOWN","","","0","0"
"cmtm8owz21gxtpv5jtgo1o25p","Converse Inc.","CONVERSE_INC","UNKNOWN","converse.com","","0","0"
"cmtrsq1op1r18pg5mpkzyfohk","Converse Korea","CONVERSE_KOREA","UNKNOWN","","","2","2"
"cmtm8p09w1i1hpv5jdzjlyvg0","Converse Retail UK Ltd","CONVERSE_RETAIL_UK_LTD","UNKNOWN","","","0","0"
"cmtrspyfg1pwdpg5mo0ai5gjp","Converse Sporting Goods","CONVERSE_SPORTING_GOODS","UNKNOWN","","","7","7"
"cmtlq3ucl1lycpg2bi77mf37o","COPAINS","COPAINS","UNKNOWN","","","0","1"
"cmtpu5x5w0ye8l35mk5a5n19w","Corporate J. Crew Group","CORPORATE_J_CREW_GROUP","UNKNOWN","jcrew.com","","23","23"
"cmtm7cjz00tytpv5jaucykxjg","Corporate J. Crew Group, LLC","CORPORATE_J_CREW_GROUP_LLC","UNKNOWN","","","0","1"
"cmtlyfuok014yqf5kc77pcedr","CORUM L'Épargne","CORUM_L_EPARGNE","UNKNOWN","corum.fr","","0","0"
