maison,kind,config_json,jobs,with_description
"Sally Hansen",successfactors,"{""origin"":""https://careers.coty.com"",""vendor"":""SuccessFactors"",""listingUrl"":""https://careers.coty.com/search/?startrow={N}"",""pageSize"":25,""brandMatch"":""title matches /sally.hansen/i""}",116,116
"Audemars Piguet",smartrecruiters-whitelabel,"{""company"":""audemarspiguet"",""account"":""audemarspiguet""}",86,86
"Billabong",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",408,408
"Bofilon",magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com""}",89,89
"Bourjois",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Burberry Beauty",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Calvin Klein Fragrances",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Chloe Parfums",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Davidoff Parfums",successfactors,"{""origin"":""https://careers.coty.com""}",116,116
"Miss Sporty",successfactors,"{""origin"":""https://careers.coty.com"",""listingUrl"":""https://careers.coty.com/search/?q=&startrow={N}"",""brandMatch"":""job slug""}",116,116
"Montlimart",magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com"",""api"":""https://api.magnet.work/v2/job-offers""}",89,89
"My Blend",successfactors,"{""origin"":""https://careers.groupeclarins.com"",""listingUrl"":""https://careers.groupeclarins.com/search/?q=&startrow={N}""}",40,40
"Naf Naf",magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com"",""api"":""https://api.magnet.work/v2/job-offers""}",408,408
"Origins",eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com"",""brandMatch"":""title:Origins""}",1386,0
"Uriage",successfactors,"{""origin"":""https://jobs.puig.com"",""path"":""/search/"",""brandMatch"":""none - no Uriage-labelled posting""}",226,226
"Vera Wang Parfums",successfactors,"{""origin"":""https://careers.coty.com"",""path"":""/search/"",""brandMatch"":""none - no Vera Wang-labelled posting""}",116,116
