nom	site	bucket	detail
cocosolis	https://cocosolis.com/de/	alive	200
green bee botanicals	https://greenbeebotanicals.com/	alive	200
le salty	https://lesaltylabel.com.au/	http-dead	404
dub	https://www.dubapparels.com/	alive	200
fraiche	https://fraiche.com.mx/	alive	200
era department stores	https://era.com.cy/	alive	200
hunza g	https://www.hunzag.com/	alive	200
do good surf club	https://www.dogoodsurfclub.com/?oid=386&affid=1&source_id=GoY-rating&sub1=brandpage	alive	200
develab	https://www.develab.com/	alive	200
carel	https://www.carel.fr/	alive	200
donsje	https://www.donsje.com/	alive	200
healthy hoohoo®	http://healthyhoohoo.com/	alive	200
gaofan	https://guvet.com/	alive	200
etnies	https://etnies.com/	alive	200
högl	https://hoegl.com/at	http-dead	404
gas bijoux	https://www.gasbijoux.com/	alive	200
desires	https://www.desires.dk/	alive	200
deep steep	https://www.deepsteep.com/	alive	200
dockers	https://www.dockers.com/	alive	200
dare to roam	https://daretoroam.com/	http-dead	404
jaggad	https://www.jaggad.com/	alive	200
crash baggage	https://crashbaggage.com/en/	alive	200
furrer jacot	https://www.furrer-jacot.com/	alive	200
designers remix	https://designersremix.com/	alive	200
herve leger	https://www.herveleger.com/	alive	200
cycleing	https://cycleing.stores.jp/	blocked	403
hanson skincare	http://hansonskincare.com/	alive	200
johshuya	http://www.johshuya.co.jp/	alive	200
inno	https://www.inno.be/nl/home	blocked	403
etq	https://www.etq-amsterdam.com/	alive	200
feller	https://www.feller.clothing/	alive	200
ferreira signature line	https://ferreirasignatureline.com/	alive	200
floral spell	http://floralspell.co/	alive	200
hesper fox	https://hesperfox.com/	alive	200
faberlic	https://faberlic.com/	alive	200
herth	https://byherth.com/?oid=228&affid=1&source_id=GoY-rating&sub1=brandpage	alive	200
coq en pâte	http://www.coqenpate.com/	alive	200
hare	https://www.dot-st.com/hare/	alive	200
enviroscent	http://enviroscent.com/	alive	200
goodspread	http://www.goodspreadsuncare.com/	alive	200
furla	https://www.furla.com/	alive	200
hispanitas	https://www.hispanitas.com/	alive	200
izutsuya	https://www.izutsuya.co.jp/	alive	200
kaft	https://www.kaft.com/	alive	200
helmut lang	https://www.helmutlang.com/	blocked	403
eleanor bowmer	https://www.eleanorbowmer.co.uk/	alive	200
eau de juice	http://www.luxebrands.com/	alive	200
jacq	https://jacqny.com/	http-dead	404
harrods	https://www.harrods.com/	alive	200
g|fashion	https://gfashion.com/	dns-dead	no A/AAAA @1.1.1.1
evans	https://www.evans.co.uk/	blocked	403
eby	https://shop.join-eby.com/	alive	200
hummer	http://www.luxebrands.com/	alive	200
erich fend	http://www.fendfashion.com/	dns-dead	no A/AAAA @1.1.1.1
donni.	https://shopdonni.com/	alive	200
delikate rayne	https://www.delikaterayne.com/	alive	200
elliker	http://www.elliker.co.uk/	alive	200
j&joy	https://jandjoy.com/	alive	200
fisch	https://fischswim.com/	alive	200
evan kinori	https://www.evankinori.com/shop	alive	200
gung ho design	http://www.gung-ho-design.com/	alive	200
free label	https://freelabel.com/	alive	200
james perse	https://www.jamesperse.com/	alive	200
hylo athletics	https://hyloathletics.com/	alive	200
gen see	http://genseebeauty.com/	alive	200
galamaar	https://galamaar.com/	alive	200
fraenck	https://fraenck.com/	alive	200
head sports	https://www.head.com/	blocked	429
deckers x lab	https://deckersxlab.com/	net-error	ECONNREFUSED
dreimaster	https://www.drei-master.de/	tls-error	CERT_HAS_EXPIRED
billion	https://billiongroup.com.my/	dns-dead	no A/AAAA @1.1.1.1
ivko woman	https://ivko.com/	alive	200
givenchy	http://www.givenchy.com/	alive	200
