name,canonical_slug,segment,group,source,confidence
Crivelli,crivelli,JEWELRY_WATCHES,,https://catwalks.io/sitemap-maisons.xml,HIGH
Damart,damart,RETAIL,,https://www.damart.fr/,HIGH
Darjeeling,darjeeling,FASHION,Groupe Chantelle,https://chantelle.com/groupe/fr/marques,HIGH
Dark and Lovely,dark-and-lovely,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
Darphin,darphin,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
Darrow,darrow,BEAUTY,Pierre Fabre,https://www.pierre-fabre.com/fr-fr/notre-entreprise/nos-marques,HIGH
Davidoff Parfums,davidoff-parfums,BEAUTY,Coty,https://www.coty.com/our-brands/all-brands,HIGH
DC Shoes,dc-shoes,FASHION,Groupe Beaumanoir,https://www.groupe-beaumanoir.com/brand-fr-sitemap.xml,HIGH
De Beers London,de-beers-london,JEWELRY_WATCHES,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
De Pino,de-pino,FASHION,,"api:https://prize.cdn.prismic.io/api/v2/documents/search?q=[[at(document.type,""designer_profile"")]]",HIGH
DECIEM,deciem,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
Decoux,decoux,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Deloison,deloison,JEWELRY_WATCHES,THOM Group,https://thomgroup.com/,HIGH
Delsey Paris,delsey-paris,FASHION,,https://www.delsey.com/en-fr,HIGH
Delvaux,delvaux,FASHION,Richemont,https://www.comitecolbert.com/member-sitemap.xml | https://www.richemont.com/en/home/brands/,HIGH
Des Petits Hauts,des-petits-hauts,FASHION,,https://despetitshauts.com/,LOW
Devred 1902,devred-1902,FASHION,,https://devred.com/,HIGH
DFS,dfs,RETAIL,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr,HIGH
Dice Kayek,dice-kayek,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Didu,didu,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Diesel (fragrance),diesel-fragrance,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
dinh van,dinh-van,JEWELRY_WATCHES,,https://www.dinhvan.com/fr,HIGH
Dior Joaillerie,dior-joaillerie,JEWELRY_WATCHES,LVMH,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Diptyque,diptyque,BEAUTY,,https://catwalks.io/sitemap-maisons.xml | https://diptyqueparis.com/fr-fr | https://www.comitecolbert.com/member-sitemap.xml,HIGH
Dodo,dodo,JEWELRY_WATCHES,Kering,https://www.kering.com/fr/maisons/,HIGH
Domcia Production,domcia-production,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
DPL Hervier,dpl-hervier,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Dr. Barbara Sturm,dr-barbara-sturm,BEAUTY,Puig,https://careers.puig.com/love-brands,HIGH
Dr.G,dr-g,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
Dr Irena Eris,dr-irena-eris,BEAUTY,,https://www.comitecolbert.com/member-sitemap.xml,HIGH
Dr. Jart+,dr-jart,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
Dr Pierre Ricaud,dr-pierre-ricaud,BEAUTY,Groupe Rocher,https://www.groupe-rocher.com/marques,HIGH
Dr. Vranjes Firenze,dr-vranjes-firenze,BEAUTY,L'Occitane Group,https://group.loccitane.com/group/our-brands,HIGH
Dries Van Noten,dries-van-noten,FASHION,Puig,https://careers.puig.com/love-brands | https://fhcm.paris/fr/maisons?status=1,HIGH
Drunk Elephant,drunk-elephant,BEAUTY,Shiseido Group,https://corp.shiseido.com/en/brands/,HIGH
dsm-firmenich,dsm-firmenich,SUPPLIER,,https://www.dsm-firmenich.com,HIGH
Du Pareil Au Meme,du-pareil-au-meme,FASHION,,https://www.dpam.com/,HIGH
Ducray,ducray,BEAUTY,Pierre Fabre,https://www.pierre-fabre.com/fr-fr/notre-entreprise/nos-marques,HIGH
