Maison,Offres actives,Secteur,Groupe,Site officiel (à remplir)
"MANGO (CZ) s.r.o.",4,"FASHION","",""
"Jewells",4,"JEWELRY_WATCHES","",""
"SUNGLASS HUT FRANCE",2,"FASHION","",""
"Agency",4,"RETAIL","",""
"Public",4,"RETAIL","",""
"Blueland",3,"RETAIL","",""
"Guild+Pepper",4,"RETAIL","",""
"Gridline",4,"RETAIL","",""
"Meco",4,"RETAIL","",""
"Swarovski Poland Sp. z o.o.",4,"JEWELRY_WATCHES","",""
"Universo",4,"RETAIL","",""
"AGATHA",2,"JEWELRY_WATCHES","THOM Group",""
"Subset",4,"RETAIL","",""
"Versace UK PLC.",4,"RETAIL","",""
"Michael Kors (Austria)",4,"RETAIL","",""
"Swarovski Hungary Retail Limited Liability Company",4,"JEWELRY_WATCHES","",""
"Swarovski Hellas",4,"JEWELRY_WATCHES","",""
"D. Swarovski Tourism",4,"JEWELRY_WATCHES","",""
"MANGO MERITXELL, S.L.U",4,"FASHION","",""
"Darphin Paris",4,"RETAIL","",""
"CHILDREN WORLDWIDE FASHION C.W.F",3,"FASHION","",""
"HBC INDIA PVT",4,"RETAIL","",""
"UNIQLO EUROPE LIMITED BELGIAN BRANCH",4,"FASHION","",""
"Nike Japan Group",4,"RETAIL","",""
"MANGO SVERIGE",4,"FASHION","",""
"Coach Stores Ireland",4,"RETAIL","",""
"Coach Hong Kong Limited - Macau Branch",4,"RETAIL","",""
"LUNETTES POUR TOUS",4,"RETAIL","",""
"La Bonne Brosse",4,"RETAIL","",""
"Prose",4,"RETAIL","",""
"Surprise-paris",4,"RETAIL","",""
"Moët Hennessy Champagne",3,"LUXURY","",""
"SAFE HARBOR",3,"RETAIL","",""
"Michael Kors Retail  Inc",3,"RETAIL","",""
"AURÉLIE BIDERMANN",3,"FASHION","",""
"UNIQLO EUROPE LIMITED DENMARK BRANCH",3,"FASHION","",""
"NIKE Sourcing India Private",3,"RETAIL","",""
"Estée Lauder - Brand",3,"BEAUTY","",""
"SAM BRUNELLO CUCINELLI MONACO",3,"RETAIL","",""
"Michael Kors (Netherlands)",3,"RETAIL","",""
"IRO",1,"FASHION","",""
"Kilo Shop",3,"RETAIL","",""
"Antipodes Médical",3,"RETAIL","",""
"ATELIER 15",3,"RETAIL","",""
"Michael Kors (Portugal)",3,"RETAIL","",""
"Rubattel et Weyermann",3,"RETAIL","",""
"NIKE New Zealand Company",3,"RETAIL","",""
"MINOÏ",3,"FASHION","",""
"Swarovski Austria",3,"JEWELRY_WATCHES","",""
"Swarovski Thailand",3,"JEWELRY_WATCHES","",""
"IZIPIZI",3,"RETAIL","",""
"MODELOR SERVICE",3,"FASHION","",""
"Moët Hennessy Wine Estates",3,"LUXURY","",""
"VALERIAN HUGHES PARIS",3,"FASHION","",""
"Les Secrets De Loly",3,"RETAIL","",""
"Nike 360 (Korea)",3,"RETAIL","",""
"Mango Korea",3,"FASHION","",""
"NACH",3,"FASHION","",""
"Embryolisse",3,"BEAUTY","",""
"Seer",3,"RETAIL","",""
"Kate McLeod",3,"RETAIL","",""
"Spinelli Kilcollin",3,"RETAIL","",""
"Swarovski Iberica SA PT",3,"JEWELRY_WATCHES","",""
"Jimmy Choo Tokyo",3,"RETAIL","",""
"Nike Retail BV Branch",3,"RETAIL","",""
"Markham",3,"RETAIL","",""
"MANGO SL D.O.O.",3,"FASHION","",""
"BRUNELLO CUCINELLI MIDDLE EAST L.L.C",3,"RETAIL","",""
"NIKE USA",1,"RETAIL","",""
"Michael Kors Stores California Inc",3,"RETAIL","",""
"KILLSTAR",3,"RETAIL","",""
"GROUPE CHANTELLE LINGERIE",3,"FASHION","",""
"Len",3,"RETAIL","",""
"Atlantis",3,"RETAIL","",""
"NIKE Malaysia",3,"RETAIL","",""
"OCARAT",3,"JEWELRY_WATCHES","",""
"Louise Misha",2,"RETAIL","",""
"Piña",2,"RETAIL","",""
"Michael Kors (Hungary) Kft",2,"RETAIL","",""
"STANDARD TEXTILE",2,"FASHION","",""
"Michael Kors (Poland) sp. z. o.o.",2,"RETAIL","",""
"SIMONE A BORDEAUX",2,"RETAIL","",""
"Michael Kors (Czech Republic) s.r.o.",2,"RETAIL","",""
"Michael Kors (Canada) Holdings LTD",2,"RETAIL","",""
"Invisible Collection",2,"RETAIL","",""
"INOUI EDITIONS",1,"FASHION","",""
"Dr.Jart+",2,"BEAUTY","Estee Lauder",""
"Taylor Stitch",2,"RETAIL","",""
"ODAEL",2,"FASHION","",""
"GAS BIJOUX",2,"JEWELRY_WATCHES","",""
"Une Robe Un Soir",2,"RETAIL","",""
"Yade",2,"RETAIL","",""
"Merz B. Schwanen",2,"RETAIL","",""
"NIKE Korea LLC",2,"RETAIL","",""
"VARIOUS ARCHIVES",2,"FASHION","",""
"EXE WORLDWIDE",2,"FASHION","",""
"UNIQLO EUROPE LIMITED POLISH BRANCH",2,"FASHION","",""
