nom	site	bucket	detail
the society shop	https://www.thesocietyshop.com/	net-error	ENOTFOUND
rapha	https://www.rapha.cc/	alive	200
the not ok club	https://thenotokclub.com/	net-error	ENOTFOUND
superstainable	http://www.superstainable.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
serena uziyel	https://www.serenauziyel.us/	net-error	ENOTFOUND
relevant	https://thirteenlune.com/	net-error	ENOTFOUND
sachin & babi	https://www.sachinandbabi.com/	alive	200
opull'ence	https://www.opullence.com/	alive	200
solstice kids	https://www.solsticekids.com/	net-error	ENOTFOUND
religion	https://religionclothing.com/	net-error	ENOTFOUND
samantha pleet	https://samanthapleet.com/	alive	200
poshe	http://poshe.com/	alive	200
sarah sue design	https://www.sarahsuedesign.com/	alive	200
slvrlake	https://slvrlake-denim.com/	alive	200
oysho	https://www.oysho.com/	alive	200
sleeping with jacques	https://www.sleepingwithjacques.com/	alive	200
secrid	https://www.secrid.com/	net-error	ENOTFOUND
rvca	https://www.rvca.com/	net-error	ENOTFOUND
saucony	https://www.saucony.com/	net-error	ENOTFOUND
regarde le ciel	https://www.regardeleciel.com/	net-error	ENOTFOUND
raymar cosmetics	https://raymarcosmetics.com/	alive	200
sienna alexander	http://www.siennaalexander.com/	alive	200
schmückstück	https://www.schmueckstueck.de/	alive	200
pacsun	https://www.pacsun.com/	net-error	ENOTFOUND
okaïdi	https://okaidi.ge/	net-error	ENOTFOUND
opaque. clip	https://store.world.co.jp/s/brand/opaque-clip/	net-error	ENOTFOUND
purse king	https://purseking.com/	net-error	ENOTFOUND
suntegrity skincare	http://www.suntegrityskincare.com/	net-error	ENOTFOUND
sun bum	https://www.sunbum.com/	net-error	ENOTFOUND
safal kids	https://safalkids.ee/	net-error	ENOTFOUND
monala	https://monalashop.com/	alive	200
rachel k	http://www.rachelkcosmetics.com/	net-error	ENOTFOUND
triumph	https://triumph.com/	net-error	ENOTFOUND
sealand	https://sealandgear.com/	alive	200
sandra adrubau	https://sandraadrubau.com/	net-error	ENOTFOUND
parfums de marly	https://parfums-de-marly.com/	net-error	ENOTFOUND
snow+rock	https://www.snowandrock.com/	alive	200
tchai walla	https://tchaiwalla.fr/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
simonetta ravizza	https://www.simonettaravizza.com/	net-error	ENOTFOUND
soloptical	https://soloptical.net/	alive	200
redrew	https://www.redrewclothing.com/	net-error	ENOTFOUND
spitz	https://www.spitz.co.za/	net-error	ENOTFOUND
saje natural wellness	http://saje.com/	net-error	ENOTFOUND
save the queen	https://www.savethequeen.it/en/	http-dead	404
silver palace	https://shopsilverpalace.com/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
st. claire natúrals	https://stclairenaturaljelly.com/	net-error	ENOTFOUND
pinalli	https://www.pinalli.it/	alive	200
reed	https://reedsportswear.com/collections/hides	net-error	ENOTFOUND
saba	https://www.saba.com.au/	alive	200
róhe	https://roheframes.com/	alive	200
scalpers	https://scalperscompany.com/	net-error	ENOTFOUND
ruby tuesday	http://www.rubytuesday.nl/	alive	200
rosalita mcgee	https://www.rosalitamcgee.com/shop/es/en/	http-dead	404
ramraj cotton	https://ramrajcotton.in/	net-error	ENOTFOUND
save the duck	https://www.savetheduck.it/	net-error	ENOTFOUND
ryłko	https://www.rylko.com/	net-error	ENOTFOUND
playtex	https://www.playtex.co.uk/	net-error	ENOTFOUND
twilfit	https://www.twilfit.se/	net-error	ENOTFOUND
rosetta getty	https://rosettagetty.com/	alive	200
rossi beauty	https://rossibeauty.com.ar/	alive	200
sacred rituel	http://www.sacredrituel.com/	alive	200
ripndip	https://ripndipclothing.com/	alive	200
sweaty betty	https://www.sweatybetty.com/	net-error	ENOTFOUND
stüssy	https://www.stussy.com/	alive	200
studio pough luxe	http://www.studiopough.com/	alive	200
pure magnolia	https://puremagnolia.ca/	net-error	ENOTFOUND
rouje	https://www.rouje.com/	net-error	ENOTFOUND
pyrrha	https://pyrrha.com/	alive	200
on parle de vous	https://www.onparledevous.fr/	net-error	ECONNREFUSED
starlight bags	https://www.starlightbags.com/	dns-flaky	timeout/servfail on both
solavida	http://solavida.com/	alive	200
tailored & originals	https://www.tailoredoriginals.com/en-en	net-error	ENOTFOUND
the smash society	https://thesmashsociety.com/	alive	200
tillys	https://www.tillys.com/	net-error	ENOTFOUND
müsli	https://www.greencottongroup.com/	alive	200
refresh botanicals	https://refreshbotanicals.com/	net-error	ENOTFOUND
